Epoch,Loss,Accuracy
1,2.0548746189497926,33.71
2,1.787375948618135,39.742
3,1.6642383468120605,43.282
4,1.590449072515873,45.21
5,1.5343564706080406,47.22
6,1.4872719837576531,49.182
7,1.4468813207753175,50.256
8,1.4086055408048508,51.418
9,1.375039656143969,52.976
10,1.3424578427201341,53.816
11,1.3140706671473315,54.638
12,1.2867807123972022,55.934
13,1.260861669507478,56.346
14,1.2369657010221116,57.178
15,1.2148785055293452,58.726
16,1.191556499132415,59.274
17,1.1703088169969866,60.012
18,1.1505086578981345,58.474
19,1.1320102560093335,60.098
20,1.112595727681504,58.14
21,1.094389977586239,61.136
22,1.0772127833817622,63.164
23,1.0617608837306958,62.004
24,1.0433220382389206,64.06
25,1.026819066165963,64.608
26,1.0109579650032552,65.31
27,0.995059813913482,65.15
28,0.9825430587124642,65.784
29,0.9666366914806463,65.612
30,0.9514794637022725,68.224
31,0.9362228229984908,66.37
32,0.9233051772465182,67.3
33,0.9101047796361587,69.31
34,0.8939027006516371,69.35
35,0.8817297257197177,69.542
36,0.8696539644390116,68.15
37,0.8572396696985835,70.468
38,0.8445835138678246,70.378
39,0.8302045652780996,67.826
40,0.8199350233273128,72.158
41,0.8097520546458871,73.588
42,0.7961988893844892,71.656
43,0.7856431957477193,74.138
44,0.775420502552291,74.158
45,0.761957265303263,73.108
46,0.7537963795463752,75.552
47,0.7397785499653853,73.42
48,0.7285476379534778,73.516
49,0.7186601232842106,75.402
50,0.7067242045612896,71.314
51,0.6962663247762129,68.142
52,0.6856557985629572,69.378
53,0.6806511634679706,75.172
54,0.6689571885349196,69.992
55,0.6574311215440025,78.618
56,0.6467822128549561,71.368
57,0.6406740484868779,76.304
58,0.6275994678973542,75.09
59,0.6183202679047499,78.136
60,0.6110846886549459,70.894
61,0.6032586957487609,76.702
62,0.5951737504252388,79.166
63,0.5888384462469984,78.67
64,0.5781893455387687,70.048
65,0.5673999837063768,81.376
66,0.558621133379924,80.012
67,0.5546776590406742,79.784
68,0.5441656201468099,75.222
69,0.5364634355010889,78.546
70,0.5308145567431779,74.2
71,0.526053679340026,75.348
72,0.5136585013031045,77.452
73,0.5054807779962754,83.816
74,0.49297423014784103,74.71
75,0.494779380005034,82.62
76,0.4870331265089457,77.85
77,0.47354673750488957,78.284
78,0.472004190735195,84.854
79,0.46005473870907904,86.008
80,0.453575570412609,86.362
81,0.4508716041779579,83.874
82,0.4459285178338475,77.252
83,0.43614877333573976,82.612
84,0.434675939819392,80.188
85,0.42115686565180266,83.898
86,0.4136842265915688,85.676
87,0.4088956087522799,77.972
88,0.40591516650622456,80.256
89,0.3984876461041248,70.25
90,0.39171848358476863,87.698
91,0.38119157510416585,87.68
92,0.38141389433151623,83.58
93,0.38405268090536526,86.638
94,0.37133828436246,83.71
95,0.36518852946246066,85.664
96,0.3594859084281165,86.926
97,0.3516301611805206,88.272
98,0.3393514246853721,80.45
99,0.34055501789502474,89.894
100,0.33105302441989065,88.65


Final Test Accuracy: 49.48%
